"9bf448c","Mark Kerr","Thu, 14 Apr 2016 19:35:18 +0100","finished different user types",	 31 files changed, 1718 insertions(+), 8 deletions(-)	
"3c27440","Mark Kerr","Wed, 13 Apr 2016 21:49:10 +0100","Working login for 3 different roles, implemented role-based functionality",	 75 files changed, 11056 insertions(+), 161 deletions(-)	
"c63ff78","Mark Kerr","Wed, 13 Apr 2016 19:09:45 +0100","Basic staff + student logins",	 76 files changed, 3879 insertions(+), 5 deletions(-)	
"d6bff2c","Mark Kerr","Wed, 13 Apr 2016 17:28:24 +0100","Custom registration for students and staff members",	 36 files changed, 3545 insertions(+), 8 deletions(-)	
"399b32f","Mark Kerr","Thu, 7 Apr 2016 16:15:37 +0100","added registration link",	 12 files changed, 426 insertions(+), 5 deletions(-)	
"e1e9a0a","Mark Kerr","Wed, 6 Apr 2016 17:29:51 +0100","fixing git for merge",	 1 file changed, 105 insertions(+)	
"4d53153","Mark Kerr","Wed, 6 Apr 2016 17:25:23 +0100","Added full crud functionality for courses",	 91 files changed, 5265 insertions(+), 12 deletions(-)	
"b154994","Mark Kerr","Wed, 6 Apr 2016 16:44:55 +0100","basic login",	 17 files changed, 1671 insertions(+), 8 deletions(-)	
"6c66221","Mark Kerr","Tue, 5 Apr 2016 17:41:22 +0100","Added courses and bootstrap",	 18 files changed, 1781 insertions(+), 3 deletions(-)	
"21a008c","Mark Kerr","Tue, 5 Apr 2016 17:08:00 +0100","First commit",	 479 files changed, 4318 insertions(+)	
